drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Poljska,1,Szczurowska,Korektorica,25,29/07/2001,188cm,104,8.67,84,38.89%,7.00,7,16.67%,0.58,13,20.31%,1.08
Poljska,3,Stysiak,Korektorica,25,03/12/2000,203cm,155,19.38,137,41.52%,17.12,14,24.56%,1.75,4,5.56%,0.50
Poljska,6,Obiała,Srednja blokerka,30,28/08/1995,187cm,49,6.12,32,50.79%,4.00,12,16.67%,1.50,5,6.85%,0.62
Poljska,8,Piasecka,Sprejemalka,23,25/09/2002,189cm,141,11.75,127,38.14%,10.58,9,14.29%,0.75,5,3.36%,0.42
Poljska,12,Szczygłowska,Libero,28,22/03/1998,172cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Poljska,14,Lampkowska,Sprejemalka,26,06/11/1999,183cm,140,11.67,128,39.75%,10.67,9,16.36%,0.75,3,1.86%,0.25
Poljska,16,Stefanik,Srednja blokerka,23,08/10/2002,192cm,13,1.62,13,61.90%,1.62,0,0.00%,0.00,0,0.00%,0.00
Poljska,18,Łysiak,Libero,27,20/01/1999,172cm,0,0.00,0,-,-,0,-,-,0,-,-
Poljska,19,Orzoł,Sprejemalka,23,11/10/2002,182cm,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
Poljska,21,Grabka,Podajalka,28,09/05/1998,180cm,4,0.33,2,28.57%,0.17,0,0.00%,0.00,2,2.50%,0.17
Poljska,24,Damaske,Sprejemalka,25,01/06/2001,180cm,50,6.25,41,32.80%,5.12,7,26.92%,0.88,2,3.70%,0.25
Poljska,26,Wenerska,Podajalka,33,09/03/1993,177cm,14,1.17,2,22.22%,0.17,6,10.17%,0.50,6,3.82%,0.50
Poljska,32,Koput,Srednja blokerka,19,05/04/2007,190cm,94,7.83,55,52.88%,4.58,35,23.18%,2.92,4,2.74%,0.33
Poljska,95,Jurczyk,Srednja blokerka,30,28/10/1995,183cm,36,3.00,20,39.22%,1.67,13,16.67%,1.08,3,3.85%,0.25
Poljska,5,Rasińska,Korektorica,27,06/11/1998,190cm,-,-,-,-,-,-,-,-,-,-,-
Poljska,31,Kecher,Srednja blokerka,22,01/02/2004,192cm,6,0.75,6,60.00%,0.75,0,0.00%,0.00,0,0.00%,0.00
Poljska,22,Szlagowska,Sprejemalka,24,29/11/2001,188cm,-,-,-,-,-,-,-,-,-,-,-
Poljska,23,Makarowska-Kulej,Podajalka,26,23/01/2000,178cm,-,-,-,-,-,-,-,-,-,-,-
Srbija,1,Ivanović,Sprejemalka,21,22/10/2004,183cm,53,5.30,48,32.88%,4.80,3,10.71%,0.30,2,3.51%,0.20
Srbija,3,Osmajic,Srednja blokerka,23,12/02/2003,192cm,23,1.92,10,40.00%,0.83,12,27.91%,1.00,1,2.70%,0.08
