drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Bolgarija,21,Krasteva,Sprejemalka,27,09/05/1999,183cm,17,2.12,16,38.10%,2.00,1,9.09%,0.12,0,0.00%,0.00
Bolgarija,23,Stoyanova,Korektorica,21,23/06/2005,194cm,130,10.83,111,31.44%,9.25,14,19.72%,1.17,5,6.25%,0.42
Bolgarija,28,Nikolova M.,Korektorica,23,17/05/2003,180cm,35,4.38,34,41.98%,4.25,0,0.00%,0.00,1,4.55%,0.12
Bolgarija,32,Veneva,Sprejemalka,17,08/03/2009,186cm,30,2.50,25,23.81%,2.08,3,21.43%,0.25,2,3.45%,0.17
Bolgarija,33,Nikolova,Srednja blokerka,19,28/10/2006,191cm,25,2.08,18,48.65%,1.50,5,16.13%,0.42,2,4.65%,0.17
Bolgarija,35,Ninova,Libero,18,09/11/2007,165cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Kanada,1,Georgiadis,Libero,24,07/01/2002,168cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Kanada,3,Van Ryk,Korektorica,27,06/01/1999,188cm,298,22.92,248,44.44%,19.08,22,15.60%,1.69,28,13.79%,2.15
Kanada,6,White,Srednja blokerka,32,14/12/1993,186cm,12,1.20,6,50.00%,0.60,5,12.20%,0.50,1,2.94%,0.10
Kanada,9,Gray,Sprejemalka,31,07/08/1994,185cm,180,13.85,163,42.89%,12.54,11,14.86%,0.85,6,3.73%,0.46
Kanada,10,Baker,Podajalka,29,14/07/1997,180cm,2,0.22,0,0.00%,0.00,2,50.00%,0.22,0,0.00%,0.00
Kanada,11,Mitrovic,Sprejemalka,27,03/06/1999,187cm,45,3.46,40,37.74%,3.08,4,18.18%,0.31,1,1.54%,0.08
Kanada,13,Fransen,Podajalka,28,24/01/1998,183cm,25,1.92,7,43.75%,0.54,11,15.07%,0.85,7,3.55%,0.54
Kanada,14,Johnson,Sprejemalka,28,16/06/1998,185cm,45,3.46,36,37.11%,2.77,6,26.09%,0.46,3,5.56%,0.23
Kanada,16,Guezen,Sprejemalka,20,28/09/2005,190cm,107,8.23,85,39.91%,6.54,14,25.45%,1.08,8,6.84%,0.62
Kanada,17,Jost,Libero,26,15/02/2000,173cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Kanada,18,Smrek,Korektorica,22,11/10/2003,205cm,34,2.83,28,46.67%,2.33,6,20.69%,0.50,0,0.00%,0.00
Kanada,19,Maglio,Srednja blokerka,29,13/11/1996,191cm,128,9.85,76,51.01%,5.85,42,19.44%,3.23,10,7.35%,0.77
Kanada,22,Andulajevic,Sprejemalka,22,14/07/2004,170cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Kanada,27,Thokbuom,Srednja blokerka,26,09/06/2000,188cm,117,9.00,78,50.98%,6.00,27,15.79%,2.08,12,5.77%,0.92
Kanada,37,Andrews,Srednja blokerka,22,03/09/2003,193cm,2,0.40,1,25.00%,0.20,1,50.00%,0.20,0,-,-
Kanada,26,Pelland,Podajalka,27,11/05/1999,179cm,1,0.25,0,0.00%,0.00,0,0.00%,0.00,1,11.11%,0.25
Kitajska,2,Zhuang Y.S.,Sprejemalka,23,28/04/2003,184cm,264,17.60,227,37.52%,15.13,28,20.44%,1.87,9,4.52%,0.60
Kitajska,3,Tang X.,Korektorica,22,21/05/2004,184cm,191,12.73,177,41.26%,11.80,10,12.66%,0.67,4,2.65%,0.27
Kitajska,5,Diao L.Y.,Podajalka,32,07/04/1994,183cm,5,0.83,2,28.57%,0.33,2,28.57%,0.33,1,4.35%,0.17
Kitajska,6,Gong X.Y.,Korektorica,29,21/04/1997,189cm,110,7.33,90,37.66%,6.00,14,17.72%,0.93,6,5.22%,0.40
Kitajska,7,Wang Y.Y.,Srednja blokerka,29,14/07/1997,196cm,104,7.43,68,52.71%,4.86,30,28.57%,2.14,6,3.70%,0.43
Kitajska,8,Chen H. Y.,Srednja blokerka,20,08/10/2005,197cm,16,1.14,9,33.33%,0.64,7,17.95%,0.50,0,0.00%,0.00
Kitajska,9,Wang A. Q.,Srednja blokerka,18,15/11/2007,196cm,92,6.13,78,50.00%,5.20,12,11.65%,0.80,2,2.11%,0.13
Kitajska,10,Yang S. M.,Korektorica,18,31/07/2008,192cm,15,1.15,12,32.43%,0.92,1,12.50%,0.08,2,5.88%,0.15
Kitajska,11,Li C. X.,Sprejemalka,19,07/12/2006,187cm,63,4.50,53,31.36%,3.79,6,18.18%,0.43,4,5.06%,0.29
Kitajska,13,Dong Y. H.,Sprejemalka,20,30/03/2006,189cm,60,4.00,53,31.93%,3.53,5,20.83%,0.33,2,2.94%,0.13
Kitajska,14,Xie S.Y.,Podajalka,22,28/05/2004,186cm,1,0.08,0,0.00%,0.00,1,6.67%,0.08,0,0.00%,0.00
Kitajska,16,Guo Z.N.,Srednja blokerka,17,03/06/2009,190cm,65,4.33,41,50.00%,2.73,20,22.73%,1.33,4,3.48%,0.27
Kitajska,17,Ni F.F.,Sprejemalka,25,14/02/2001,177cm,0,0.00,0,-,-,0,-,-,0,-,-
Kitajska,18,Wang M.J.,Libero,30,14/11/1995,173cm,0,0.00,0,-,-,0,-,-,0,-,-
Kitajska,4,Zhang Z.X.,Podajalka,17,15/08/2008,182cm,10,0.91,0,0.00%,0.00,5,8.06%,0.45,5,3.33%,0.45
Kitajska,22,Zhou Y.T.,Korektorica,24,04/05/2002,186cm,8,2.67,6,35.29%,2.00,2,20.00%,0.67,0,0.00%,0.00
Češka,1,Kneiflova,Srednja blokerka,24,22/06/2002,190cm,4,0.33,2,33.33%,0.17,2,25.00%,0.17,0,0.00%,0.00
Češka,4,Pavlova,Srednja blokerka,29,20/05/1997,182cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Češka,6,Grozer,Sprejemalka,38,25/07/1988,188cm,94,7.83,78,33.33%,6.50,11,17.19%,0.92,5,3.65%,0.42
Češka,8,Koulisiani,Srednja blokerka,23,01/10/2002,188cm,95,7.92,52,46.02%,4.33,37,23.87%,3.08,6,4.05%,0.50
Češka,9,Digrinova,Libero,25,19/10/2000,169cm,0,0.00,0,-,-,0,-,-,0,-,-
Češka,11,Dostalova,Libero,34,07/04/1992,170cm,0,0.00,0,-,-,0,-,-,0,-,-
Češka,15,Jehlarova,Srednja blokerka,26,16/01/2000,189cm,118,9.83,77,47.24%,6.42,39,23.08%,3.25,2,2.30%,0.17
Češka,16,Mlejnkova,Sprejemalka,30,26/07/1996,185cm,124,10.33,107,33.65%,8.92,12,16.00%,1.00,5,4.10%,0.42
Češka,17,Bukovska,Sprejemalka,23,28/04/2003,184cm,22,5.50,18,31.03%,4.50,3,20.00%,0.75,1,4.55%,0.25
Češka,18,Smidova,Podajalka,33,12/11/1992,180cm,18,2.25,10,66.67%,1.25,1,3.33%,0.12,7,7.07%,0.88
Češka,20,Grabovska,Podajalka,24,29/05/2002,180cm,9,0.75,3,37.50%,0.25,1,2.63%,0.08,5,4.90%,0.42
Češka,22,Orvosova,Korektorica,25,28/01/2001,191cm,43,3.58,38,34.23%,3.17,5,13.16%,0.42,0,0.00%,0.00
Češka,23,Indrova,Sprejemalka,26,30/07/2000,180cm,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
Češka,25,Brancuska,Korektorica,21,19/11/2004,189cm,172,14.33,161,46.00%,13.42,9,11.39%,0.75,2,1.94%,0.17
Dominikanska republika,2,Y. Rodriguez,Sprejemalka,26,26/06/2000,171cm,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
Dominikanska republika,7,Marte,Podajalka,35,19/10/1990,178cm,4,0.33,2,14.29%,0.17,2,4.00%,0.17,0,0.00%,0.00
Dominikanska republika,8,Tapia,Korektorica,22,19/05/2004,193cm,49,4.08,39,32.50%,3.25,7,19.44%,0.58,3,6.38%,0.25
Dominikanska republika,10,Heredia,Sprejemalka,23,21/10/2002,181cm,87,7.25,78,38.61%,6.50,6,12.77%,0.50,3,3.09%,0.25
Dominikanska republika,11,Gonzalez,Srednja blokerka,24,18/04/2002,200cm,83,6.92,48,48.00%,4.00,31,23.85%,2.58,4,3.54%,0.33
Dominikanska republika,13,Matos,Sprejemalka,28,16/04/1998,188cm,15,1.25,12,23.53%,1.00,2,14.29%,0.17,1,2.44%,0.08
Dominikanska republika,16,Peña Isabel,Sprejemalka,33,10/05/1993,190cm,135,11.25,122,32.97%,10.17,8,14.81%,0.67,5,3.50%,0.42
Dominikanska republika,18,De la Rosa,Podajalka,25,02/07/2001,178cm,4,0.33,1,33.33%,0.08,3,27.27%,0.25,0,0.00%,0.00
Dominikanska republika,19,Terrero,Srednja blokerka,23,03/01/2003,188cm,14,1.17,8,22.86%,0.67,5,17.86%,0.42,1,6.25%,0.08
Dominikanska republika,20,B. Martinez,Sprejemalka,29,11/09/1996,201cm,85,7.08,73,38.62%,6.08,10,23.81%,0.83,2,3.23%,0.17
Dominikanska republika,21,J. Martinez,Srednja blokerka,28,03/12/1997,192cm,109,9.08,77,49.04%,6.42,30,16.85%,2.50,2,1.48%,0.17
Dominikanska republika,23,Gaila,Korektorica,29,25/06/1997,190cm,73,9.12,68,38.64%,8.50,4,10.81%,0.50,1,2.08%,0.12
Dominikanska republika,25,L. Martinez,Sprejemalka,29,18/10/1996,174cm,3,0.25,0,-,-,0,-,-,3,8.82%,0.25
Dominikanska republika,28,Alonzo,Korektorica,20,30/09/2005,190cm,56,4.67,44,29.14%,3.67,10,29.41%,0.83,2,4.44%,0.17
Francija,4,Ratahiry Li.,Sprejemalka,22,17/06/2004,178cm,137,11.42,113,34.98%,9.42,15,25.86%,1.25,9,7.56%,0.75
Francija,7,Ndiaye,Korektorica,24,13/01/2002,188cm,128,10.67,106,33.97%,8.83,8,10.39%,0.67,14,12.17%,1.17
Francija,9,Stojiljkovic,Podajalka,29,01/09/1996,180cm,1,0.12,0,0.00%,0.00,0,0.00%,0.00,1,2.86%,0.12
Francija,15,Sylves,Srednja blokerka,25,29/12/2000,194cm,66,5.50,36,42.86%,3.00,26,28.26%,2.17,4,5.19%,0.33
Francija,18,Mathi,Podajalka,18,08/11/2007,191cm,1,0.33,1,100%,0.33,0,-,-,0,0.00%,0.00
Francija,19,Depie,Korektorica,19,26/05/2007,182cm,71,6.45,61,34.86%,5.55,9,28.12%,0.82,1,2.27%,0.09
Francija,20,Brunier-Balandras,Srednja blokerka,20,26/10/2005,190cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Francija,21,Elouga,Srednja blokerka,26,14/10/1999,191cm,72,6.00,43,50.00%,3.58,20,17.70%,1.67,9,9.47%,0.75
Francija,35,Danard Selosse,Podajalka,23,31/12/2002,177cm,13,1.08,1,8.33%,0.08,4,7.41%,0.33,8,5.37%,0.67
Francija,68,Jaegy,Libero,24,25/10/2001,165cm,1,0.08,1,50.00%,0.08,0,-,-,0,0.00%,0.00
Francija,78,Massuel,Srednja blokerka,26,29/02/2000,184cm,1,0.10,0,0.00%,0.00,0,0.00%,0.00,1,14.29%,0.10
Francija,88,Rotar,Sprejemalka,25,24/10/2000,188cm,47,3.92,43,30.50%,3.58,3,11.11%,0.25,1,1.22%,0.08
Francija,91,Bah,Sprejemalka,22,21/12/2003,187cm,39,4.88,34,30.09%,4.25,3,17.65%,0.38,2,2.82%,0.25
Francija,99,Gelin,Libero,24,02/11/2001,162cm,0,0.00,0,-,-,0,-,-,0,-,-
Francija,10,Fanguedou,Srednja blokerka,23,27/06/2003,186cm,64,5.82,37,39.36%,3.36,23,23.71%,2.09,4,4.35%,0.36
Francija,1,Cazaute,Sprejemalka,28,17/12/1997,184cm,111,12.33,105,37.50%,11.67,4,8.00%,0.44,2,2.41%,0.22
Nemčija,1,Nestler,Libero,25,17/05/2001,169cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Nemčija,3,Cesar,Libero,29,26/04/1997,173cm,0,0.00,0,-,-,0,-,-,0,-,-
Nemčija,7,Tabacuks,Sprejemalka,19,10/02/2007,188cm,10,2.50,7,24.14%,1.75,2,66.67%,0.50,1,10.00%,0.25
Nemčija,8,Kohn,Podajalka,23,18/06/2003,184cm,2,0.17,0,-,-,0,0.00%,0.00,2,3.70%,0.17
Nemčija,9,Alsmeier,Sprejemalka,26,29/06/2000,189cm,128,10.67,115,34.53%,9.58,9,18.37%,0.75,4,3.03%,0.33
Nemčija,11,Timmer,Sprejemalka,25,30/05/2001,187cm,52,6.50,49,37.40%,6.12,1,6.25%,0.12,2,2.90%,0.25
Nemčija,13,Weske,Korektorica,25,26/03/2001,188cm,128,10.67,109,35.39%,9.08,14,16.47%,1.17,5,4.81%,0.42
Nemčija,16,Cekulaev,Srednja blokerka,23,01/07/2003,187cm,53,6.62,30,44.12%,3.75,18,20.22%,2.25,5,7.14%,0.62
Nemčija,18,Grozer,Sprejemalka,19,23/04/2007,183cm,105,13.12,92,42.20%,11.50,6,17.65%,0.75,7,10.61%,0.88
Nemčija,20,Kindermann,Korektorica,27,27/07/1999,190cm,52,6.50,40,37.74%,5.00,10,28.57%,1.25,2,7.14%,0.25
Nemčija,21,Weitzel,Srednja blokerka,26,11/06/2000,195cm,114,10.36,78,54.55%,7.09,25,19.84%,2.27,11,7.24%,1.00
Nemčija,22,Strubbe,Srednja blokerka,25,05/07/2001,189cm,64,5.33,47,58.75%,3.92,12,14.29%,1.00,5,5.56%,0.42
Nemčija,23,Straube,Podajalka,24,26/04/2002,185cm,11,0.92,6,42.86%,0.50,2,4.17%,0.17,3,1.95%,0.25
Nemčija,25,Pfeffer,Srednja blokerka,21,12/07/2005,194cm,7,0.70,4,33.33%,0.40,3,25.00%,0.30,0,0.00%,0.00
Italija,2,Meli,Srednja blokerka,25,09/04/2001,183cm,32,2.13,24,60.00%,1.60,7,20.59%,0.47,1,2.56%,0.07
