drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
ZDA,14,Ma'a,Podajalec,29,16/04/1997,192cm,15,1.25,5,71.43%,0.42,6,18.18%,0.50,4,3.92%,0.33
ZDA,17,Hanes,Korektor,28,03/05/1998,210cm,157,13.08,128,54.24%,10.67,15,16.13%,1.25,14,12.17%,1.17
ZDA,18,Hartke,Korektor,20,20/04/2006,211cm,78,6.50,61,48.41%,5.08,11,27.50%,0.92,6,11.54%,0.50
ZDA,20,Champlin,Sprejemalec,24,29/11/2001,191cm,57,4.75,49,44.55%,4.08,4,19.05%,0.33,4,4.88%,0.33
ZDA,22,Shoji,Libero,36,24/08/1989,184cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
ZDA,24,McHenry,Srednji bloker,25,17/10/2000,200cm,63,5.73,44,57.89%,4.00,19,16.38%,1.73,0,0.00%,0.00
ZDA,26,Knigge,Srednji bloker,30,02/06/1996,201cm,8,1.14,7,70.00%,1.00,0,0.00%,0.00,1,8.33%,0.14
ZDA,9,Garcia,Korektor,27,08/01/1999,200cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
ZDA,12,Marshman,Srednji bloker,32,27/07/1994,201cm,0,-,0,-,-,0,-,-,0,-,-
ZDA,15,Rowan,Podajalec,23,29/07/2003,201cm,3,0.75,1,50.00%,0.25,1,25.00%,0.25,1,6.25%,0.25
ZDA,29,Ewert,Sprejemalec,29,18/03/1997,195cm,34,3.40,30,43.48%,3.00,4,13.79%,0.40,0,0.00%,0.00
