drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Nemčija,15,Kohn,Sprejemalec,21,05/08/2004,188cm,2,0.50,0,-,-,0,-,-,2,16.67%,0.50
Nemčija,16,Peter,Sprejemalec,28,08/09/1997,197cm,5,0.42,1,100%,0.08,0,-,-,4,7.02%,0.33
Nemčija,17,Zimmermann,Podajalec,33,12/02/1993,190cm,13,1.08,3,18.75%,0.25,5,10.42%,0.42,5,3.52%,0.42
Nemčija,18,Krage,Srednji bloker,29,11/01/1997,203cm,28,3.50,21,52.50%,2.62,6,14.63%,0.75,1,2.17%,0.12
Nemčija,21,Krick,Srednji bloker,27,22/10/1998,210cm,73,6.08,60,68.97%,5.00,13,15.66%,1.08,0,0.00%,0.00
Nemčija,22,Brand,Sprejemalec,28,09/07/1998,194cm,138,11.50,118,43.70%,9.83,9,16.67%,0.75,11,6.51%,0.92
Nemčija,24,Burggräf,Podajalec,27,10/03/1999,184cm,3,0.25,2,50.00%,0.17,0,0.00%,0.00,1,1.96%,0.08
Nemčija,31,Böhme,Korektor,28,02/08/1997,203cm,125,10.42,104,46.64%,8.67,9,15.25%,0.75,12,11.54%,1.00
Nemčija,32,Mohwinkel,Sprejemalec,23,22/11/2002,196cm,11,1.10,10,32.26%,1.00,0,0.00%,0.00,1,5.26%,0.10
Nemčija,33,Torwie,Srednji bloker,24,01/11/2001,203cm,64,5.33,37,53.62%,3.08,18,18.75%,1.50,9,7.96%,0.75
Nemčija,66,Röhrs,Sprejemalec,25,24/04/2001,201cm,159,13.25,148,48.84%,12.33,4,6.25%,0.33,7,5.00%,0.58
Iran,2,Ilshan,Podajalec,23,03/06/2003,189cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Iran,5,Nasri,Sprejemalec,23,07/01/2003,201cm,26,2.17,21,46.67%,1.75,4,36.36%,0.33,1,2.22%,0.08
Iran,8,Hazrat,Libero,27,31/03/1999,187cm,0,0.00,0,-,-,0,-,-,0,-,-
Iran,9,Poriya,Sprejemalec,22,01/07/2004,198cm,102,8.50,88,53.33%,7.33,3,11.54%,0.25,11,10.89%,0.92
Iran,15,Arshia,Podajalec,22,04/08/2003,194cm,10,0.83,6,40.00%,0.50,3,6.98%,0.25,1,0.67%,0.08
Iran,17,Haji,Korektor,25,01/07/2001,198cm,185,16.82,154,54.23%,14.00,21,27.63%,1.91,10,6.90%,0.91
Iran,19,Hossein,Libero,21,01/12/2004,175cm,0,0.00,0,-,-,0,-,-,0,-,-
Iran,20,Yousef,Srednji bloker,23,28/01/2003,207cm,26,2.60,21,63.64%,2.10,4,9.76%,0.40,1,2.86%,0.10
Iran,22,Haghparast,Sprejemalec,21,16/12/2004,198cm,149,12.42,125,47.53%,10.42,10,16.67%,0.83,14,9.09%,1.17
Iran,27,Mohammad,Srednji bloker,25,31/05/2001,204cm,71,6.45,53,51.96%,4.82,16,16.00%,1.45,2,1.40%,0.18
Iran,49,Morteza,Sprejemalec,27,27/05/1999,193cm,115,9.58,103,46.40%,8.58,6,11.32%,0.50,6,4.23%,0.50
Iran,66,Eisa,Srednji bloker,25,08/02/2001,203cm,44,3.67,34,64.15%,2.83,8,13.11%,0.67,2,2.27%,0.17
Iran,72,Mohsen,Korektor,24,03/11/2001,208cm,13,1.62,11,37.93%,1.38,1,10.00%,0.12,1,6.67%,0.12
Iran,99,Nima,Srednji bloker,18,09/11/2007,203cm,17,4.25,14,63.64%,3.50,2,15.38%,0.50,1,3.70%,0.25
Iran,29,Matin,Sprejemalec,20,26/09/2005,197cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Iran,67,Shayan,Srednji bloker,20,24/11/2005,204cm,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
Italija,4,Laurenzano,Libero,23,12/06/2003,176cm,0,0.00,0,-,-,0,-,-,0,-,-
Italija,6,Giannelli,Podajalec,29,09/08/1996,200cm,15,3.75,9,47.37%,2.25,5,20.83%,1.25,1,1.82%,0.25
Italija,7,Balaso,Libero,30,20/10/1995,178cm,0,0.00,0,-,-,0,-,-,0,-,-
Italija,8,Sbertoli,Podajalec,28,23/05/1998,188cm,6,0.75,1,50.00%,0.12,2,11.76%,0.25,3,5.36%,0.38
Italija,9,Sani,Sprejemalec,24,16/07/2002,203cm,38,3.17,28,48.28%,2.33,6,40.00%,0.50,4,5.33%,0.33
Italija,12,Bottolo,Sprejemalec,26,03/01/2000,196cm,155,12.92,131,48.16%,10.92,14,24.14%,1.17,10,6.90%,0.83
Italija,14,Galassi,Srednji bloker,29,24/07/1997,201cm,16,2.00,14,77.78%,1.75,2,10.53%,0.25,0,0.00%,0.00
Italija,15,Lavia,Sprejemalec,26,04/11/1999,200cm,42,5.25,35,37.23%,4.38,6,23.08%,0.75,1,1.59%,0.12
Italija,16,Romanò,Korektor,29,26/07/1997,201cm,44,11.00,39,58.21%,9.75,3,17.65%,0.75,2,4.35%,0.50
Italija,17,Porro L.,Sprejemalec,22,09/05/2004,193cm,97,8.08,81,45.25%,6.75,8,16.33%,0.67,8,7.21%,0.67
Italija,18,Sanguinetti,Srednji bloker,26,14/04/2000,203cm,93,7.75,68,55.28%,5.67,16,15.69%,1.33,9,7.14%,0.75
Italija,19,Russo,Srednji bloker,29,23/02/1997,207cm,0,-,0,-,-,0,-,-,0,-,-
Italija,20,Mati,Srednji bloker,19,07/08/2006,204cm,58,7.25,33,64.71%,4.12,17,22.08%,2.12,8,9.52%,1.00
Italija,23,Bovolenta,Korektor,22,27/05/2004,202cm,94,7.83,79,47.31%,6.58,9,18.75%,0.75,6,6.59%,0.50
Japonska,1,Nishida,Korektor,26,30/01/2000,187cm,100,10.00,88,47.31%,8.80,5,9.80%,0.50,7,6.80%,0.70
Japonska,2,Onodera,Srednji bloker,30,27/02/1996,202cm,48,4.80,32,65.31%,3.20,13,18.84%,1.30,3,3.61%,0.30
Japonska,3,Fukatsu,Podajalec,36,01/06/1990,181cm,6,0.50,1,25.00%,0.08,4,13.79%,0.33,1,0.57%,0.08
Japonska,4,Miyaura,Korektor,27,22/02/1999,190cm,118,9.83,112,55.72%,9.33,3,7.89%,0.25,3,2.97%,0.25
Japonska,5,Otsuka,Sprejemalec,25,05/11/2000,195cm,43,3.91,41,43.62%,3.73,1,4.17%,0.09,1,1.30%,0.09
Japonska,11,Tomita,Sprejemalec,29,20/06/1997,190cm,26,2.36,22,50.00%,2.00,1,14.29%,0.09,3,6.12%,0.27
Japonska,12,Ran,Sprejemalec,24,02/09/2001,188cm,208,17.33,172,52.12%,14.33,15,17.05%,1.25,21,10.88%,1.75
